title,description,place,tags,frequency,heurPrincip,severity,evaluator,ofProject
Paul Schiff Berman,paul schiff berman is an american lawyer and the current vice provost for online education and academic innovation at the george washington university he also serves as gw laws manattahn professor of law he previously served as dean of the the george washington university law school and robert kramer research professor of law from 2011 to 2013before his arrival at gw he was dean at the sandra day oconnor college of law of arizona state university from 2008 to 2011 and a professor at the university of connecticut school of law where he taught from 1997 to 2008 his scholarship focuses on the intersection of international law conflict of laws cyberspace law written law and the cultural analysis of lawhe earned his ab summa cum laude from princeton university in 1988 and his jd in 1995 from new york university school of law where he served as managing editor of the nyu law review and received the university graduation prize for the graduating law student with the highest cumulative grade point averagehe served as law clerk to thenchief judge harry t edwards of the united states court of appeals for the district of columbia circuit and for associate justice ruth bader ginsburg of the united states supreme court prior to entering law berman was from 19882005 artistic director of spin theater a theater company based in new york city he was also administrative director of the wooster group and was the founding administrator for richard foremans ontologicalhysteric theatre at saint marks church in the east village,Paul Schiff Berman,Paul Schiff Berman,4,2,2,user5,p2
David Bushby,david christopher bushby born 17 july 1965 australian politician a liberal member of the australian senate since august 2007 representing the state of tasmaniabushby was born in launceston tasmania the son of the hon max bushby obe a tasmanian mp and later speaker of the state house of assembly he was educated at the university of tasmania where he graduated in economics and law and the australian maritime college from where he received a diploma in business prior to entering parliament bushby was a practising lawyer and political adviserin may 2007 bushby was preselected for tasmanian liberal senate ticket in the number two position ahead of the 2007 election consequently bushby appeared destined to enter the federal parliament at the beginning of the next senate term in july 2008 given the highly electable nature of this position on the ticket in fact his entry to federal parliament came sooner on 30 august 2007 bushby was appointed to the senate by the tasmanian parliament to fill the casual vacancy caused by the resignation of paul calverton the 1 june 2011 david was caught up in a sexism scandal with penny wong labor minister for finance he commented meow in response to her reply to him and she labelled it schoolyard politics,David Bushby,David Bushby,1,8,2,user1,p2
Sven Trygve Falck,sven trygve falck born 9 march 1943 is a norwegian engineer businessperson and politician for the conservative partyhe was born in tnsberg as a son of bookseller trygve falck 19051974 and housewife inger erikson 19091995 he finished his secondary education in 1962 and took the siving degree in chemical engineering at the norwegian institute of technology in 1967 while studying he edited under dusken in 1964his first engineering job was at dow chemical co in texas from 1967 to 1970 after a year at dow chemical co in germany he was hired in norsk hydro in 1971 he was an engineer for norsk hydro at rafnes from 1975 then chief engineer for norsk hydro in porsgrunn from 1976 to 1981he was a member of porsgrunn city council from 1977 to 1979 then the executive committee of telemark county council while also serving as deputy chair of the county school board he was also elected to the parliament of norway from telemark in 1981 and served through one term as a member of the standing committee on energy and industryafter leaving parliament he was a consultant and business director he was a board member of norsk jern holding from 1990 to 1993 corporate council member of norsk jernverk from 1987 to 1989 and supervisory council member of manufacturers hanover norge from 1986 to 1990 and den norske industribank from 1990 to 1993 deputy from 1986 to 1990,Sven Trygve Falck,Sven Trygve Falck,5,7,1,user1,p2
Wayne Richardson,wayne richardson born 8 december 1946 is a former australian rules footballer in the then victorian football leaguecollingwood football club snared wayne richardson from south fremantle football club in 1965 before he had made his senior debut and not surprisingly the west australian side was extremely reluctant to clear him richardson was forced to stand out of football for the entire 1965 season before his clearance was ratified but as far as the magpies were concerned it was worth the wait as he would develop into one of the finest players in the clubs history a tough customer and extremely skilful he spent most of his 277 game 323 goal vfl career between 1966 and 1978 as either a rover or ruckrover where his adeptness at reading the play enabled him to pick up countless possessions a copeland trophy winner in 1971 and 1974 richardson captained the magpies from midway through the 1971 season until 1975 he represented the vfl on five occasions and was universally acknowledged as one of the greats of his era a status emphasised by his inclusion in collingwoods official team of the twentieth centurywaynes brother max richardson played 211 games for collingwood from 19691978 and a further 30 for fitzroy football club in 19791980 and his son mark richardson played 141 games for collingwood from 19922002,Wayne Richardson,Wayne Richardson,3,3,1,user5,p2
Corey Layton,corey layton aka captain turntable born 19 july 1979 in melbourne australia is a commercial radio broadcaster and purveyor of plaid shirtshe started his career at youth radio station 899 hitzfm melbourne as captain turntable before hosting the night show at melbournes ttfm with fifi box and mixmaster mikey in 2000 he won a raward for best newcomer onairlater corey moved to sydney to be a founding member of nova 969 where he also hosted the late night show dropping the name captain turntable when nova 100 launched in melbourne corey moved back to host the night show where he interviewed justin timberlake beyonc knowles red hot chili peppers jamiroquai orlando bloom liv tyler paris hilton and many more around this same time corey was in the nick giannopoulos film the wannabeslayton moved behind the scenes at nova 100 in 2003 working as the promotions manager and later as breakfast producer for hughesy kate formerly hughesy kate dave in 2006 he travelled around south america before moving to london to work at gcap media as the commercial programme controller for the xfm choice fm and gold radio networksin 2008 corey became the voice of the irbs total rugby tv show broadcast to 154 countries worldwidein 2009 layton returned to melbourne to work for austereo where he is now a head of response activation he is also a voice over artist with rmk,Corey Layton,Corey Layton,1,4,2,user4,p2
Garry Stewart,garry stewart born 1962 has been the artistic director of the australian dance theatre since 1999 following meryl tankard stewart studied at the sydney city ballet academy 1983 and the australian ballet school 19841985 he has danced with the australian dance theatre the queensland ballet expressions dance company and the one extra dance company onex and has performed with the sydney theatre companystewart began his dance training in 1983 at the before studying at the between as a performer he appeared with a number of companies including he also worked on many independent projects in 1989 he performed the role of luke in production of harold in italy he founded the dance company thwack in 1997his choreography includes australian ballet school untitled 1985australian dance theatre zen do some nothing 1986sydney based freelance choreographer 1990 1998chunky move for its inaugural season spectre in the covert memory 1995sydney dance company thwack 1996various works for the sydney gay and lesbian mardi gras thwack plastic space melbourne festival 1998birdbrain a deconstruction of swan lakeaustralian dance theatrehousedance performed on the outside of the main sail of the sydney opera house on new years eve 1999birdbrainthe age of unbeauty outstanding choreographic achievement for at the 2002 australian dance awardsnothingheld a collaboration with us dance photographer lois greenfield 2004 adelaide bank festival 2004 helpmann award for best choreography in a ballet or dance workdevolution 2006 2006 helpmann awards best new australian work and best lighting g giselle 2008 adelaide bank festivalbe your self 2010 worldhood 2011 with the adelaide college of artsproximity premiere on 25 feb 2012 for adelaide festivalso you think you can dance 2008 channel 10 reality television showvocabulary with kat worth from restless dance company 2005honour bound based on the experiences of terry and david hicks best new australian work and best mainstream production at the sydney theatre awards directed by nigel jamieson commissioned by and performed at the sydney opera house august 2006 and malthouse theatre melbourne september 2006 toured to the vienna festival may 2007 holland festival amsterdam june 2007 barbican theatre london november 2007 and the new zealand international arts festival wellington march 2008rambert dance company infinity 2007birmingham royal ballet the centre and its opposite 2009filmnascent a film created by gina czarnecki and choreographed by garry stewart 2005 adelaide film festival australian dance award for dance film and imz dance screen delegates awardbenevolencein april 2006 stewart coproduced and directed the dance gala unified for unicef australia to benefit the gap youth centre in alice springs for indigenous australian young people and an hivaids program for children in laos,Garry Stewart,Garry Stewart,3,5,2,user2,p2
Susanne Berckhemer,susanne berckhemer born 20 march 1978 in augsburg is a german actress she graduated in 1997 having studied at the bavarian august everding theatre academy in munich where she gained a degree in comedy susanne berckhemer played many roles in the series tatort and in verliebt in berlin in the role of britta haas she also played the role of the antagonist nadine dannenberg in the series tessa leben fr die liebe in august 2007 she acted in the series rosamunde pilcher sieg der liebe in the main role of emma clark she acted in the successful series wege zum glck until july 2008 episode 703 shown on 20 october 2008 on zdf in the main role of luisa becker born maywaldas well as a career as an actress susanne tried to explore her origins in a project with her friend the dramaturgist dagmar domrs in sibiu the european cultural capital of 2007 the play ein dorf erzhlt zalina was performed in the village of hosman romania along with spree agent and other collaborative artists susanne stated that the objective was to benefit the young inhabitants of the romanian village to experience cultural pursuits such as the theatre an association named after her was created in the area susanne berckhemer became a mother in january 2009 she lives with her child and companion thorsten werner in berlin,Susanne Berckhemer,Susanne Berckhemer,3,6,3, user3,p2
Matt McCormick,matt mccormick is a portland oregon based artist and filmmaker he is an award winning filmmaker and noted video installation artist his work extends documentary and experimental filmmaking focusing on the sublime decay of contemporary culture and the landscape both urban and ruralmatt mccormick is an artist and filmmaker who works in both the art and independent film worlds he has had three films screen at the sundance film festival has had work exhibited at art basel the moscow biennial and the museum of modern art and his film the subconscious art of graffiti removal was named in top 10 film lists of 2002 in both art forum magazine and the village voice he has also directed music videos for the shins broken bells sleater kinney and yacht while also collaborating on projects with artists such as miranda july james mercer patton oswalt and calvin johnson his work spans mediums and defies genre distinctions to fashion witty abstract observations of contemporary culture and the urban landscape his project future so bright maps and catalogs the abandoned spaces in the american west while american nutria examines the plight of an imported species while chastising capitalisms tendency to create its own disasters the subconscious art of graffiti removal makes the observation that the process of destroying one art form unwittingly creates another while his installation piece ride a wave to tomorrows sunset reflects on societys need for synthetic meditation a collection of mccormicks music and sound recordings titled very stereo was released in 2007 by marriage records and his photography and installation work is represented by the elizabeth leach gallery matt is also the founder of the video distribution label peripheral produce and the portland documentary and experimental film festivalin 2008 mccormick began production on his first feature length project called some days are better than others starring james mercer and carrie brownstein the film premiered at the 2010 sxsw film and music festival in austin texas,Matt McCormick,Matt McCormick,5,1,3,user1,p2
Declan Ganley,declan james ganley born 23 july 1968 is an irish entrepreneur businessman and political activistprimarily a telecommunications entrepreneur he has built businesses across europe russia and latterly the united states he is currently the chairman and ceo of rivada networks a telecommunications company specialising in the efficient use and arbitrage of wireless spectrum rivada patented groundbreaking technologies in the field of dynamic spectrum arbitragein 2013 ganley testified to the us house committee on energy and commerce youtube that rivadas patents had the potential to save the taxpayer hundreds of millions of dollars he founded and sold successful companies in forestry and the online sector during the 2008 irish referendum on the treaty of lisbon ganley and the libertas institute successfully campaigned for a no vote he again campaigned for a no vote in the 2012 irish european fiscal compact referendum aside from this he has guestpresented tonight with vincent brownein 2009 he was founder and chairman of a political party libertas with paneuropean ambitions the party was unsuccessful in this ambition in the 2009 european parliament election succeeding in getting only one candidate elected in france ganley was upbeat after the defeat describing the venture as a failed experiment his first book the fight for democracy was published in 2009 he coauthored with joseph stiglitz and others of the book what if ireland defaults a collection of essays on the response to the irish economic crisis,Declan Ganley,Declan Ganley,1,9,1,user4,p2
Alexei Borisov,making music on the fringe since the underground movement ignited in russia in the beginning 1980s alexei borisov has developed an impressively diverse body of work as a member of night prospekt fruits and volga among many other projectsborn in moscow on december 7 1960 alexei borisov graduated the moscow state university where he had studied history and arts his controversial performing career as a guitarist began in the center newwave group in 1980 next year he formed the prospekt modband and reloaded it in 1985 as the shifting night prospekt with thenpartner ivan sokolovsky after the actual dissolution of the band in the beginning 1990s he surfaced then in the noise reconstruction and techno acoustics duo fruits with pavel zhagun also known as piezo and in various shortlived artnoiseindustrial acts like joint committee atomic bisquit orchestra and severbeing left with little possibility of finding a label to fund and promote his most radical projects alexei borisov with his oldassociate an experimental finnish soundsculptor anton nikkila established in 2000 their own nb research digest labelamong other borisovs collaborations are the joint projects with the performancegroup north russia kk null japan jeffrey surak usa leif ellgren sweden borisov also collaborates with the videoartist roman anikushin multimediaartists aristarh chernishev and vladislav efimov and also with olga subbotina moscow theatre director lately borisov prefers solo music career he also works as a dj in clubs and on radio and contributed as a journalist to some russian bulldozer ptjuch fuzz downtown manmusic etc and foreign bmag technikart magazines and newspapershe is portrayed in the 2013 music documentary elektro moskva,Alexei Borisov,Alexei Borisov,4,4,3,user1,p2
Inge Danielsson,inge danielsson born 14 june 1941 is a swedish former footballer he played for ifbromlla if helsingborgs if and afc ajax danielsson also played 17 international games for swedendanielsson made his debut for the swedish national team during his time in ifbromlla if who then played in the swedish second division the debut came against denmark in solna 6 november 1966 where danielsson shot the gamewinning goal 21he is most known for scoring two goals against portugal in november 1966 in the european championship qualifier that same year he signed to play with helsingborgs ifin 1968 danielsson signed on to play professionally with afc ajax and he became a large part of the clubs third straight league title danielsson came at the end of the season and managed to score nine goals danielsson also played in the european cup final in 1969 against fellow swede kurre hamrins ac milan losing with 41danielsson scored several important goals both in the dutch league and the european cups but after a little more than a year returned to helsingborg playing in the lower swedish divisions in 1973 he swapped club to ifk norrkping where he stayed a year before ending his career where it started in ifbromlla ifafter ending his football career he ran a flooring business until his retirement,Inge Danielsson,Inge Danielsson,1,6,3, user3,p2
Tony %C3%81lvarez,antonio enrique lvarez alvahrez born may 10 1979 is a venezuelan former major league baseball outfielder and politicianborn in caracas he played professionally under the name tony lvarez furthermore he is commonly known as el potro lvarez a moniker that he has been using since starting his baseball career at a young agehighly touted as a fivetool prospect lvarez gained an early notoriety for being a multifaceted and controversial figure as a result of the popularity in venezuelan circles in addition to his playing in the 2002 allstar futures game and the 2006 world baseball classic he usually smashed hard line drives into the infield or deep into the outfield played aggressive baserunning and crashed the walls in pursuit of a fly ball delighting baseball fans for most of a decade people come out to the ballpark and pay money to watch the game lvarez explained in an interview im an aggressive player and its hard for me to change if i lose my aggressiveness i wont be the same player he addedadditionally during the same period lvarez found time to develop a successful but not remarkable musical career ventured in politics and even married three times each one of his wives being former beauty queens which led him to achieve celebrity status in his country,Tony %C3%81lvarez,Tony %C3%81lvarez,4,7,3,user6,p2
Gail Greenberg,gail harte greenberg born 1938 is a professional american bridge player from new york city she has won major tournaments as gail shane gail moss and gail moss greenberg sometime prior to the 2014 european and world meets summer and october she was one of 73 women world grand masters ranked about 40th by placing points that do not decay over time she married successively steve shane mike moss and jack greenberg and is the mother of jill levin and brad moss all five being successful bridge playersgreenberg has participated in every thriceannual north american bridge championships meet since 1966 and has won 17 nabcrated events sometimes called national championships in the us she has won five world championships as a member of usa women teams including four from 1976 to 1984 in four of these wins she partnered jacqui mitchellgreenberg was inducted by the acbl hall of fame in 2013 as a recipient of the von zedtwitz awardin 1983 she took part in a televised match between teams representing the us and britain arranged by the bbc the match was featured in a book that described her thusgail moss sometimes strays from orthodox gail moss is decidedly lively in her defensive play always looking for the chance to attack but there is the impression that jackie mitchell sic has tempered her partners exuberance with some sharp reproofs,Gail Greenberg,Gail Greenberg,2,2,2,user2,p2
Tay Kay Chin,tay kay chin a singaporebased photographerspent the early part of his professional career at the straits times where he held positions from photographer to picture editorafter leaving the times he worked as presentation editor of the sun newspaper in bremerton washington where his frontpage design for the september 11 disaster was selected by poynter institute as one of the 10 best designs in the world along with journalism giants like the new york times a photojournalism graduate of the university of missouricolumbiahe is a regular speaker and judge at regional photography events he has exhibited widely and his photographs are collected by singapores ministry of foreign affairs the european house of photography in paris and private collectorsa vocal advocate of photography in singapore he founded southeast asias first photography workshop shooting home with objectifs coordinated the exchange program for sunderland based international photography research network and curated out of focus a series of exhibitions for month of photography singapore 2006 he also wrote the introduction essay for henri cartierbressons early works exhibition which was shown in singapore in june 2006 his other curatorial experience includes being picture editor for the singapore history museum sars exhibition as well as being director of photography for mercy reliefs glimpses of light exhibition seriessince 2003 he has been a regular member of the selection committee for the national arts council singapores cultural medallion and young artist awards the highest accolades for the arts in singapore he is also a member of the resource panel for photography for nac in 2003 he was one of 12 hasselblad masters in the world and since 2004 he has been an epson stylus professional his clients include saveur magazine time asia newsweek hasselblad searay living magazine south china morning post magazine brutus magazine asahi weekly austrian airlines united overseas bank mtv asia singapore tourism board wingtai land transport authority of singapore singapore youth flying club biopolis singapore asia business and singapore technologies he is currently working on several personal photography projects at the same time taking on selected commercial commissions,Tay Kay Chin,Tay Kay Chin,5,4,1,user5,p2
Mark Williams (Australian footballer born 1983),mark l williams born 13 april 1983 is an indigenous former australian rules footballer who played with hawthorn and essendon in the australian football league afl he was traded from the hawks to the bombers during the 2009 afl trade weekmaking his debut in 2002 after being drafted by the hawks at pick 43 in the 2000 afl draft williams was a small forward and came of age in 2005 when he was used as a full forward where he kicked 63 goals making him the leading goal kicker of the club known for his flamboyance pace and use of the shotgun a trademark celebration he used to use after kicking a goal williams was one of a number of young players at hawthornwilliams finished 2006 with a total of 60 goals and once again was the leading goalkicker at the hawks a knee injury cut short his 2007 season after only four games leaving him stranded on 13 goalswilliams attracted controversy in 2008 when he made a choking gesture targeted at thenport adelaide coach mark williams this was in reference to the thenport adelaide coachs famous choking gesture when the power 2004 premiership williams was warned that he would be shown the door if such action occurred again he did apologise to his port adelaide namesake after the game which hawthorn won convincinglyin the 2008 grand final williams and stuart dew kicked four goals in three minutes to put hawthorn in a winning position late in the third quarter williams three goals was the most by any player during the grand finalin 2009 williams injured his knee and missed the majority of the season gamesthe 2009 postseason trade week saw williams traded to essendon in a complex trade involving four clubs he had a disappointing debut game for essendon when the bombers were beaten by geelong at the mcg it was not a great night for williams as he gathered just eight disposals and was kept scoreless in the matchin the twilight of his career williams was unable to gain senior selection and played with essendons victorian football league affiliate the bendigo bombers until his retirement which was announced on 25 july 2011williams agreed to play with ballan in the central highlands football league for 2012 and 2013,Mark Williams (Australian footballer born 1983),Mark Williams (Australian footballer born 1983),5,6,1,user6,p2
T Func,t func is a standup comedian from tampa fl his pursuit of spreading humor and humility across the bay has been going on since 2006 with his debut of the string joke the string joke is the infamous joke where a string walks into a bar and turns into a frayed knot he has no claim to fortune in which may make him different from the regular styled comedians out thereas said in his book i have married and then i got divorced with the kids still intact he placed mysterious words back to back with each other attempting to describe why his life in someways has made him upset it is as if the divorce gave him the courage to be able to make jokes out of his life to get by the sad times t func is known for having two kids and allows them to partake in his recordings that he usually releases on kinky noise records a local do it by yourself kind of record label that has been in existence since the late 1990s his childrens most notable performance is featured on his lefthanders ball cassette tape that was released in 2009 on kinky noise records not only was it a huge stepping stone for his children but it allowed t func to get out there and share his creativity to those that like to laughthe story of t func has its triumphant moments when it comes down to it in his book t func saysmany question the fact as to why i want to live in tampa and tell jokes t func does not clearly ever answer the question that has been asked of him in a clearly stated form however he has been quoted in the past to say that tampa is great the book never states how long he has lived in tampa but it is assumed that he was born elsewhere and then relocated to tampa fl in the early 1990sone of t funcs greatest feats is the collaboration with tampas very own astrovian prince in the band that they created astrovian func to this date it is the only duo that does not have drums in tampa fl their equipment contains a microphone for t func and a violin for the astrovian prince it is known that the astrovian prince has swayed from the violin at times and has played the organ or an electronic keyboard to ensue the crowd on a more personal level this band was started around 2007 but it is difficult to confirm in the t func book it is said by the astrovian prince working with t func is as easy as eating breakfast so that shows the workmanship that t func has t func makes him feel welcomethere have been dark days that have faced t func in his face and one of the most notable events is known as the heckling at the boom boom the boom boom is known as the boom boom classroom that was a venue for locals in tampa created by then and than and pro bro dog who are also in the music scene in tampa fl the heckling at the boom boom was an event described by t func as a persons worst nightmare that occurred in late 2007 t func has said that he has been heckled before and this one time it is as if it was too much to bare t func was performing at the boom boom classroom when a person from the crowd had given him the worst treatment by throwing trash and yelling words that resulted in t func walking off the stage the person has been said to have never been recognized but allowed t func to prosper from that event and use it as his stepping stone to be more prepared for things of the sort t func claims that since that event i have had my feet flat on the floor and i will not fall on my face like i did when i witnessed the heckling at the boom boom,T Func,T Func,1,8,1,user1,p2
Anya Lahiri,anya lahiri born 1 may 1982 in golders green london is a british actress model singer and fitness instructor who is of indian and finnish origin anya attended the henrietta barnett school in hampstead garden suburb north london where she excelled in languages and music lahiri graduated from birkbeck university of london with a degree in humanities and literature in 2005 she has been playing the flute and the piano since her youth she is also a talented horsewomananya was scouted in covent garden at age 14 by select model management in london she was chosen to become a part of the girl group precious after auditioning the band was chosen by british viewers to represent the uk in the 1999 eurovision song contest with their first single say it again and arrived 12th after that they released their first album called precious with yielded two top 10 hits singles rewind and its gonna be my way by the end of 2000 the group went under scrunity and disbanded following the break up of precious anya returned to her education attending birkbeck university of london while continuing to model during this time she has modelled for brands such as asda and asos as well as gracing the covers of company and more she was one of the fhm pitgirls in 2003in 2003 anya landed her first acting role alongside sienna miller in keen eddie in 2004 she appeared in the movie tornado with daniel bernhardt and in the grooming with jacqueline bisset in 2011 anya starred opposite adrien brody in a super bowl advertisement for stella artoisanya is a trainer at barrys boot camp with clients such as kim kardashian and natalie imbruglia in 2011 she played an integral role in the establishment of barrys boot camp in london,Anya Lahiri,Anya Lahiri,2,1,4, user3,p2
Ronnie McMahan,this page is on the american basketball swingman for the canadian point guard of a similar name see ronn mcmahonronnie mcmahan born 1972 is a former professional american basketball playermcmahan a 65 swingman starred mcminn county high school where he played for two years under coach ron baker mcmahan played college basketball at vanderbilt university from 1992 through 1995 and finished his career there as the schools fourth alltime leading scorer with 1719 the first three are shan foster matt freije and phil cox mcmahan is second to foster for most three point baskets made for a commodore with 296 mcmahan was named an associated press and coaches allsec third team in 1994 and ap and coaches allsec second team in 1995 he earned a bs degree in human and organizational developmentmcmahan began his pro career in the united states basketball league in the spring of 1995 where he was named to the leagues allrookie team as a member of jackson jackals he was on the chicago bulls roster for the 19956 season until being waived on halloween he then played for the chicago rockers of the continental basketball association until being waived in january he completed his pro career in 20023 playing for atomeromu se paks in hungarymcmahan became involved in high school coaching upon retirement from playingin 2009 mcmahan joined the aba team nashville broncs where he starts and is a leader on the team hes now married and still living in nashville tn mcmahan will play with the nashville soul for the 201112 season the soul are also an aba team,Ronnie McMahan,Ronnie McMahan,1,8,3,user4,p2
Hashim Abdul Halim,hashim abdul halim is an indian politician and the former speaker of the west bengal legislative assembly halim started his career as a practising lawyer halims father was abdul halim an alderman at the kolkata municipal corporation his uncle m ishaque was a member of the congress party and a freedom fighter he has also served as the chairman of the commonwealth parliamentary association and president of the world federation of united nations association he was elected as the member of the legislative assembly of west bengal for the first time in 1977 thereafter he has served the assembly for 6 terms from 1977 to 2011 he served as the minister for judicial affairs in the government of west bengal from 1977 to 1982 he was also an mla elected from the amdanga constituency in the west bengal state assembly election 1977 until 2006 when he shifted his constituency to the entally constituency he was the mla from entally till 2011 he has served in numerous departments and committees of west bengal halim has also represented west bengal at numerous seminars in india and abroad halim has been the longest serving speaker of any legislative assembly in india serving for a consecutive 29 years from 6 may 1982 to 2011 after the 2011 elections in bengal halim was replaced by biman banerjee as the speaker of the west bengal vidhan sabha halim holds a masters degree in commerce a bachelors degree in law and was awarded an honorary doctorate by soka university tokyo halim is married and has four children his son fuad halim was the cpim candidate for the ballygunge constituency in the 2011 west bengal elections but lost to trinamool congress subrata mukherjee by 41000 votes,Hashim Abdul Halim,Hashim Abdul Halim,1,7,3,user4,p2
Dola Kabarry,kevin omondi migot born c 1977 better known for his stage name dola kabarry is a benga musician from kenya he leads the band orchestra super haki haki his songs are mainly in dholuo language his father barrack migot led the band bondo super stars when his father died in 1998 kabarry took over the band but left the band soon due to internal rivalry and formed orchestra super haki haki in 2000 during his early career he had also played with okatch biggy awino lawi and ouma jerry among otherssome of his popular songs by 2003 were iwacho awacha adundo mum sella and pamela atoti other hits include dabed gi pesa isando chunya and maoni ya raiain 2003 kabarry was voted singer of the year by the music composers association the award was shared with suzzana owiyo he won the western benga category at the 2006 kisima music awards and was nominated in 2007 his collaboration song with hip hop group deux vultures adhiambo c was also nominated for kisima award kabarry held a threemonth in tour the usa in 2008 and released a new album wololohis song change the world is dedicated to us presidential candidate barack obama kabarry was born in uhembo village in alego siaya district and thus comes from the same area as obamas father barack obama srhe has two wives angelina and jane three daughters and one son as of 2008,Dola Kabarry,Dola Kabarry,5,8,2,user6,p2
Michael Turnbull,anthony michael arnold turnbull born 27 december 1935 was the bishop of durham in the church of england from 1994 until 2003turnbull was born in wombwell south yorkshire he was a student at keble college oxford graduating in 1958 he prepared for ordained ministry at cranmer hall and st johns college university of durham he was ordained deacon in 1960 and priest in 1961 in manchester cathedral after ordination he initially served as curate of middleton in the diocese of manchester before moving in 1961 to be curate of luton with east hyde in the diocese of saint albans in 1965 he moved to york to be domestic chaplain to the archbishop of york donald coggan and director of ordinands for the diocese of york in 1969 he was appointed chaplain to the university of york a position he held in conjunction with being vicar of nearby heslington in 1976 he was appointed chief secretary of the church army in 1984 he was appointed archdeacon of rochester and was then to be consecrated as the bishop of rochester in 1988 from 1994 until his retirement in 2003 he was the bishop of durham the fourth most senior bishop in the church of england with a seat in the house of lordsturnbull was appointed cbe in 2003 for services to the north east and to the church of england he holds honorary doctorates from greenwich university dlitt and durham university dd he is a deputy lieutenant in the county of kentturnbulls leadership of the church of england focused on reorganisation of its administrative structures he chaired the turnbull commission archbishops commission on the organisation of the church of england which led to the creation of the archbishops council in 1995 after the commission had finished its duties he was appointed chairman of the ministry division of the archbishops council his other posts have included member of commission on english cathedrals 19924vice chairman central board of finance 199019980 board member of church commissioners 19891998 archbishops council and chairman of the ministry division 19982000 chairman foundation for church leadership 20032007chairman north east constitutional convention 19992003and campaign for english regions 20002003 chairman bible reading fellowship 19851994 and of college of preachers19901998and of council of scargill house 19691976despite speaking out against openly homosexual clergy in 1993 it was revealed in 1994 that turnbull had been arrested and convicted of committing acts of gross indecency in a public lavatory in 1968 this led peter tatchell and others to protest against what they saw as his hypocrisy when he was enthroned as bishopturnbull is married to brenda and the couple who live in kent have three children rachel mark and becky and seven grandchildren emily karen james charlotte isobel hugh and henry following episcopal tradition he signed his name michael roffen while he was bishop of rochester and michael dunelm while he was bishop of durhamin retirement turnbull is an honorary assistant bishop in the dioceses of canterbury rochester and europe his writing includes gods front line parish evangelism learning to pray and the state of the church and the church of the state 2012,Michael Turnbull,Michael Turnbull,1,2,5,user5,p2
Russell L. Adams,russell l adams born august 13 1930 an american author and professor he is the chairman of the afroamerican studies department at howard university washington dcadams was born on august 13 1930 in baltimore maryland to james russell and lilly b ponder adams he received his elementary and high school education in quitman georgia he received his ba degree at morehouse college atlanta in 1952 a ma degree at the university of chicago in 1954 and later a phd in 1971in 1965 adams worked as an assistant professor and chair department of political science at the north carolina central university in durham north carolina in 1969 adams became an associate professor at the university of the district of columbia in 1971 adams was hired as chair of the department of afroamerican studies at howard universitythroughout his work adams focused on the emergence of the afroamerican studies as an academic field in addition to his long interest in cultural and curriculum diversity adams has published and edited several books numerous articles and collections he is the author of the popular biographical reference book great negroes past and present 1963 leading american negroes a series of film strips for which he received the george washington honor medal 1966 and the pursuit of power in black america in the nineteenth century a study of the emergence of black politically oriented voluntarism 1971dr adams is a member of many political science and history organizations including national conference of black political scientists national association for the study of afroamerican life and history and national association for the advancement of colored people naacp he is also a popular speaker who has lectured at many universities throughout the united states caribbean europe israel and south africadr russell l adams is married to eleanor mccurine and has two children sabrina and russell lowell adams he lives with his wife eleanor in laurel maryland his son russell lowell adams is serving in the department of state within the foreign service sabrina is a paramedic working in maryland,Russell L. Adams,Russell L. Adams,4,6,4,user5,p2
Jamie Mitchell (musician),jamie mitchell aka benjamin mitchell bertman born january 5 1970 is an american musician and composer mitchell was born in the bronx new york raised primarily in southern california and lived the early years of his life in abidjan ivory coast africa where his parents were in the peace corps as the guitarist of scaterd few hr human rights featuring hr of bad brains vengeance rising and transultra mitchell composed music recorded albums and toured mitchell was a guest guitarist on applehead greg miniers of the crucified first solo record after leaving scaterd few due to conflicts with singer ramald domkus mitchell became the touring guitarist with hr playing with such acts as general public eekamouse and sublime his primary instrument is the guitar but he also plays bass guitar drums and produces other artists in 2003 mitchell started the filmmusic company beachwood cottage film and music producing such films as che guevarra everybody dies and episodes of foxfuels stupidface in november 2004 in response to the detainment of dr aung san suu kyi mtv began airing commercials for amnesty internationals campaign for burma which featured the song closer written by jamie mitchell with producer mitch rellas replacing coldplays how long must i wait closer has also appeared on several television series including life on nbcmitchell has composed music for many films and tv shows including the shield life fightzone presents from a place of darkness and red canvas for which he received awards for best soundtrack and best action sequence at the 2008 action on film festival recently mitchell edited the music video for fades like a photograph and produced the video for no love for the band filter,Jamie Mitchell (musician),Jamie Mitchell (musician),3,9,5,user4,p2
